Mean Test Accuracy,Mean Precision,Mean Recall,Mean F1 Score
,,,
0.4595291327277664,0.47852541506290436,0.47866368293762207,0.0
0.5655607134103775,0.5,0.2520610839128494,0.0
0.5706917643547058,0.5,0.1868104264140129,0.0
0.5713732987642288,0.5,0.1829039230942726,0.0
0.574089877307415,0.5,0.18786539882421494,0.0
0.6208300441503525,0.4926861673593521,0.26502881944179535,0.0
0.611981064081192,0.48460590839385986,0.2789425104856491,0.0
0.6065346151590347,0.4728661775588989,0.3007863163948059,0.0
0.6219998300075531,0.4727024585008621,0.341561421751976,0.0
0.6182590126991272,0.472247913479805,0.3372083753347397,0.0
0.6174087971448898,0.47206704318523407,0.33574211597442627,0.0
0.6221697777509689,0.4727272689342499,0.341916561126709,0.0
0.6225094348192215,0.47262774407863617,0.34185563027858734,0.0
0.6245493441820145,0.4727272689342499,0.34395599365234375,0.0
0.6226782500743866,0.47235022485256195,0.3416880816221237,0.0
0.6230177879333496,0.47229917347431183,0.3421674519777298,0.0
0.620126411318779,0.47180451452732086,0.33898885548114777,0.0
0.6231862306594849,0.47211895883083344,0.34325048327445984,0.0
0.6208050698041916,0.4716981202363968,0.34062743186950684,0.0
0.6228443682193756,0.47188378870487213,0.3441331088542938,0.0
0.6218238770961761,0.47161778807640076,0.34245122969150543,0.0
0.6240328997373581,0.47180451452732086,0.3464667648077011,0.0
0.6248826533555984,0.4717247933149338,0.34676095843315125,0.0
0.627091571688652,0.47183097898960114,0.35039088129997253,0.0
0.6284515410661697,0.471751406788826,0.35068508982658386,0.0
0.629640981554985,0.47191011905670166,0.3533257842063904,0.0
0.6301512867212296,0.471751406788826,0.3520447015762329,0.0
0.6330406218767166,0.472014918923378,0.35661581158638,0.0
0.6330410540103912,0.47188378870487213,0.355010062456131,0.0
0.6366104036569595,0.47229917347431183,0.361032173037529,0.0
0.636781170964241,0.4722222238779068,0.3594569116830826,0.0
0.6401810348033905,0.4727024585008621,0.36518479883670807,0.0
0.6395020335912704,0.47242647409439087,0.3612782955169678,0.0
0.6442623138427734,0.47297297418117523,0.3677317053079605,0.0
0.6454524397850037,0.47280144691467285,0.3669452667236328,0.0
0.6481728404760361,0.4730941653251648,0.3701872080564499,0.0
0.6488526463508606,0.4729485958814621,0.36975589394569397,0.0
0.6495323330163956,0.4729972928762436,0.3709760308265686,0.0
0.6500425338745117,0.4729972928762436,0.3709760308265686,0.0
0.6507223546504974,0.47304582595825195,0.3720262050628662,0.0
0.6510622650384903,0.47302158176898956,0.3721809387207031,0.0
0.6517421752214432,0.47304582595825195,0.37287595868110657,0.0
0.6524217426776886,0.4729972928762436,0.37352530658245087,0.0
0.6529316157102585,0.47307001054286957,0.3745907247066498,0.0
0.6532716453075409,0.4730941653251648,0.37494587898254395,0.0
0.653951570391655,0.473166361451149,0.37601128220558167,0.0
0.6548015624284744,0.4732142835855484,0.37689150869846344,0.0
0.6542913615703583,0.473166361451149,0.37652114033699036,0.0
0.6549712717533112,0.47323818504810333,0.3775865435600281,0.0
0.6565011888742447,0.47330960631370544,0.3791618198156357,0.0
